,best_offset,best_res,sec_best_res
0935ca984e5b4654af008b62246270e6,-12.0,0.38619828428711045,0.5313280486480617
094d6c0af3e446c69b4369f4f508b90a,0.0,0.5537369883187736,0.5680623891287613
095f16f37b984b10b4043c7af1d451fa,0.0,0.4861578081407826,0.7674368695900994
095fc120fd2e4fe78f16c6281af54686,0.0,0.41146416232786726,0.5605566639092988
0963c56042474c95b9074c154f5ea4fa,0.0,0.5787861795281025,0.7078894017167752
097596a9ebd84b8c8cdf3b1a51ff87a1,0.0,0.4797691410327255,0.588935961196046
0982275fd25943ec943a51c40921119f,-12.0,0.4869869355004629,0.6007612385557042
09b608976efe4725bd938aad707f30e5,-12.0,0.42808669466005006,0.494634601518429
09b82944ccb244fa8cc5964d99989b85,0.0,0.30305328076028715,0.6272368820139521
09dc2927a297461bb7bd1c5162ce8d9e,-12.0,0.4548667494507594,0.4551055497182157
0a0c413b5290497c96d5327e2ef2ad8d,0.0,0.4431413822482835,0.5649275798125595
0a1c2a896fa34688b86547f4317a7733,0.0,0.6698158051099228,0.7780154486036839
0a2158ab33ae4efcb8f1bdfd0ff49f56,-12.0,0.4366564910025707,0.45661953727506427
0a25b78b63494c1c882ffd0a09cdfbad,-12.0,0.5711193694613468,0.5853309919549149
0a465461efa54b4aab8e3ec04870e6ae,-12.0,0.4090604890604891,0.6982239382239382
0a4ac7e908ca4c05ab5b280a6b0d6538,-12.0,0.4354908461871126,0.5451924463024362
0a50b95f828e4217849aa09d4764bcce,-24.0,0.18591439471998664,0.29240580355899637
0a6bcde44baf477f8dcde53a3a1b6846,0.0,0.3076064268724819,0.5124993932333382
0a8a05e16d074c2da65fb9231e0739c9,-24.0,0.26436443791329906,0.5737692872887583
0aac57f7e23e41de89746101022475fa,-12.0,0.5069618611087088,0.6129032258064516
0addb1f2074845baac94a439752e2a3f,-2.0,0.7956239250907701,0.8032677240588573
0ae644629fc04c7ab169077cf994888a,-12.0,0.572108843537415,0.611904761904762
0ae7cfb23804491996d0bc9cf775020f,-19.0,0.32234832945895436,0.6107844477870459
0aed36cc0f6540948d2ab0b9027f730e,0.0,0.2546948356807512,0.4904636150234742
0af1151ccaa146f4b1c1082e8cd215bf,-12.0,0.4867359345639439,0.6452967834641318
0b0ea222f9fc4ea583ce0cfdf6a21809,-12.0,0.39250504145193815,0.6761147210396594
0b174c98ffae4d72a1b3b4dab2b2a740,-12.0,0.4744488411531939,0.675296777840588
0b23f55fe848400daf1eb8521faeb968,-12.0,0.46528908794788276,0.63314332247557
0b2a072b09f042a6956e59ecf95b28f4,-12.0,0.5750564334085779,0.6420240782543266
0b353829ccab40448911ace6a1cbab4e,0.0,0.5172948177535334,0.7374783039920655
0b5144eb32a444d9ac8f66a2e6589f94,-12.0,0.5370740506020573,0.6000097499146883
0b583d688ee74f17947e2be6550add0e,0.0,0.5053317194074587,0.6491440428843162
0b59aef984da4bfc9166ee96790e319b,0.0,0.36236152012340483,0.5721497686159024
0b5c414b337d4d3b92b5bde525fd5335,0.0,0.3629871138022046,0.4949541996584381
0b632ce605a345c3b4317ed14f922354,-1.0,0.6911812410213634,0.7027202372677139
0b64df9e74a045899dc8b3eb7851ba12,0.0,0.31083969465648853,0.33757906215921485
0b83cb35be8444df987cd78d09b73bf5,-12.0,0.3587446242064305,0.6199569936514437
0b8e20a0c0574a0c9dd5a5ba9c279f5f,-12.0,0.26318851823118694,0.4234548745797776
0ba5b39546c842c980e77cac5c7aee02,-6.0,0.5851500384714029,0.6098999743523981
0ba7744eb2ee4b89b2c44c679a9a2bc3,-12.0,0.2912539515279241,0.40706006322444677
0bbb1161e9514bf6b8ea2d273da6fb00,-12.0,0.40833396699870733,0.6815451296479356
0bc90d78e5294d1a8f9442c25f46b7b4,-12.0,0.5034985143295313,0.588852678999329
0bcd36e70e8049398cd4234681501789,-12.0,0.32595298881943835,0.5307685535698565
0be0577558b34f61a18b03aec79f0cca,-24.0,0.49491802441391286,0.5463506818530057
0c04ddc9069245d99e0388756b943a0d,-12.0,0.3775040171397965,0.8251740760578468
0c524867b0c94b669be6450703f5ffa4,-12.0,0.36490085824208346,0.5695965275722601
0c5a3c52914d41a7ae539b402cfd71ba,0.0,0.4578984440033297,0.643465454312608
0c7893809a4f4ba494ec6a51c00a38e8,-12.0,0.37037037037037035,0.5354422964264792
0c918632db164c2cb9663bcc4d1bc46e,-12.0,0.3484012335659796,0.5851728615484499
0cf0e93e4baa4e4fb9ce69b3555ff9a3,-12.0,0.4017900021829295,0.5660772757039948
0d2ad0f92f4846a79ee017c38115c55d,-24.0,0.6189550042052144,0.6886564339781329
0d322a0602bc48f59086047b7937e8d9,0.0,0.49046938876028173,0.6271486972368615
0d39372c31de4975b8b3dd7f95d3495d,-12.0,0.42126268211761314,0.7352502764821849
0d39ec52bf2442c591afe030826daf55,-12.0,0.5163751987281399,0.5519077901430842
0d6c4f7c774044c4b9018cadcc41920e,0.0,0.3836181055155875,0.41531774580335734
0d6f2ad376ac4cf497242f676879f2ec,-12.0,0.3034258403951966,0.4022249889553797
0d72a465348b4ee0855422a3ec924c56,0.0,0.628393250183419,0.7395451210564931
0d84ee2673c041eebc5601bbff91198a,-12.0,0.4998611882287618,0.6889922265408107
0db0d6a64e774260b7ddbb0241fcbe38,-12.0,0.24663540852652602,0.40917773725796647
0dc51935dab1400f90b46ac64e124d9f,0.0,0.43629303650012946,0.7250323582707741
0ddbb0aba9ca47a7b75e191420d1b1f2,0.0,0.4475672737156836,0.6329980973090513
0e2bb201e70446fd9f2c0c6c8d0bfcd2,-1.0,0.39609476112767994,0.530470992065725
0e4441fe64f445b79aee4596f39d61a3,-12.0,0.43224690840494656,0.5428107315028295
0e4b287c8234408d9fce46942ea2d819,0.0,0.43752802271708263,0.6355552234344642
0e51f03136de44339626fd6af72ee646,-12.0,0.38945794392523364,0.4035514018691589
0e74a37bb4a241ba9e44248cf96f2da1,0.0,0.3811848764513248,0.6718070854420959
